fpl,understat,fpl_2024-25,opta_id
Wout Faes,Wout Faes,291.0,218218
Joël Veltman,Joël Veltman,145.0,111478
Kurt Zouma,Kurt Zouma,532.0,103192
Aaron Cresswell,Aaron Cresswell,517.0,55459
Scott McTominay,Scott McTominay,381.0,195851
John McGinn,John McGinn,48.0,122806
Jadon Sancho,Jadon Sancho,386.0,209243
Curtis Jones,Curtis Jones,324.0,206915
Eddie Nketiah,Eddie Nketiah,11.0,205533
Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,490.0,132015
Taiwo Awoniyi,Taiwo Awoniyi,424.0,210156
Amadou Onana,Amadou Onana,233.0,449871
George Hirst,George Hirst,272.0,222625
André Onana,André Onana,383.0,202641
Conor Bradley,Conor Bradley,313.0,492777
Konstantinos Tsimikas,Konstantinos Tsimikas,337.0,214285
Ethan Nwaneri,Ethan Nwaneri,12.0,499175
Neco Williams,Neco Williams,437.0,215136
Wilson Odobert,Wilson Odobert,612.0,550839
Enes Ünal,Enes Ünal,65.0,168636
Riccardo Calafiori,Riccardo Calafiori,578.0,466075
Sandro Tonali,Sandro Tonali,417.0,432422
William Saliba,William Saliba,18.0,462424
Enzo Fernández,Enzo Fernández,168.0,448047
Luke Shaw,Luke Shaw,387.0,106760
Anthony Elanga,Anthony Elanga,432.0,449434
Yoane Wissa,Yoane Wissa,110.0,216646
Erling Haaland,Erling Haaland,351.0,223094
Illia Zabarnyi,Illia Zabarnyi,85.0,477580
Harry Maguire,Harry Maguire,377.0,95658
Sepp van den Berg,Sepp van den Berg,338.0,444765
Julián Álvarez,Julián Álvarez,352.0,461358
Lewis Dunk,Lewis Dunk,120.0,83299
Luis Sinisterra,Luis Sinisterra,80.0,224995
Jørgen Strand Larsen,Jørgen Strand Larsen,566.0,247412
Charlie Taylor,Charlie Taylor,475.0,103914
Frank Onyeka,Frank Onyeka,102.0,428580
Kobbie Mainoo,Kobbie Mainoo,378.0,516895
Ben Chilwell,Ben Chilwell,160.0,172850
Ben Davies,Ben Davies,484.0,115556
Matthijs de Ligt,Matthijs de Ligt,593.0,209365
Tim Iroegbunam,Tim Iroegbunam,226.0,490094
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,166.0,215413
Kristoffer Ajer,Kristoffer Ajer,86.0,191866
Ben Doak,Ben Doak,318.0,496208
Tyrick Mitchell,Tyrick Mitchell,210.0,244723
Phil Foden,Phil Foden,348.0,209244
Sam Morsy,Sam Morsy,278.0,74944
Solly March,Solly March,132.0,109345
Odsonne Edouard,Odsonne Edouard,198.0,199670
Toby Collyer,Toby Collyer,613.0,490881
Adam Lallana,Adam Lallana,463.0,39155
Trent Alexander-Arnold,Trent Alexander-Arnold,311.0,169187
Micky van de Ven,Micky van de Ven,506.0,491279
Mads Hermansen,Mads Hermansen,293.0,467189
Craig Dawson,Craig Dawson,542.0,60232
Aaron Hickey,Aaron Hickey,93.0,472713
Joe Worrall,Joe Worrall,448.0,208912
Mario Lemina,Mario Lemina,557.0,151086
Manuel Akanji,Manuel Akanji,340.0,211975
Dean Henderson,Dean Henderson,201.0,172649
Ian Maatsen,Ian Maatsen,45.0,441302
Anthony Gordon,Anthony Gordon,398.0,232826
Jaidon Anthony,Jaidon Anthony,61.0,444180
David Brooks,David Brooks,62.0,111317
Julio Enciso,Julio Enciso,121.0,474120
Adama Traoré,Adama Traoré,239.0,159533
Bukayo Saka,Bukayo Saka,17.0,223340
Evan Ferguson,Evan Ferguson,123.0,487117
Ben Brereton Díaz,Ben Brereton Díaz,584.0,204814
Stephy Mavididi,Stephy Mavididi,298.0,154048
Yankuba Minteh,Yankuba Minteh,135.0,592031
Lewis Dobbin,Lewis Dobbin,37.0,461421
James Justin,James Justin,295.0,220627
Alexis Mac Allister,Alexis Mac Allister,329.0,243016
Harrison Reed,Harrison Reed,254.0,153366
William Osula,William Osula,590.0,538207
Kevin De Bruyne,Kevin De Bruyne,345.0,61366
Massimo Luongo,Massimo Luongo,277.0,106606
Mats Wieffer,Mats Wieffer,149.0,467779
Calvin Bassey,Calvin Bassey,241.0,232892
Georginio Rutter,Georginio Rutter,618.0,463067
Sam Johnstone,Sam Johnstone,204.0,101982
Keane Lewis-Potter,Keane Lewis-Potter,98.0,249231
Leon Bailey,Leon Bailey,28.0,215711
Kieran Trippier,Kieran Trippier,418.0,77794
Youri Tielemans,Youri Tielemans,57.0,166989
Marcos Senesi,Marcos Senesi,79.0,221466
Adam Armstrong,Adam Armstrong,453.0,155511
Joe Willock,Joe Willock,420.0,200089
Ferdi Kadioglu,Ferdi Kadioglu,628.0,231416
Emil Krafth,Emil Krafth,405.0,111773
Ali Al-Hamadi,Ali Al-Hamadi,260.0,462387
Mikkel Damsgaard,Mikkel Damsgaard,89.0,440089
Jurriën Timber,Jurriën Timber,6.0,445122
Oleksandr Zinchenko,Oleksandr Zinchenko,25.0,206325
Issa Diop,Issa Diop,245.0,219924
Danny Ings,Danny Ings,523.0,84939
Marcus Tavernier,Marcus Tavernier,83.0,201658
Jamie Vardy,Jamie Vardy,306.0,101668
Tommy Doyle,Tommy Doyle,544.0,220394
Rico Lewis,Rico Lewis,355.0,477064
Moussa Diaby,Moussa Diaby,34.0,243557
Nicolas Jackson,Nicolas Jackson,180.0,517052
Lewis Cook,Lewis Cook,64.0,155408
Malo Gusto,Malo Gusto,171.0,482609
Jakub Kiwior,Jakub Kiwior,8.0,440854
Mason Mount,Mason Mount,382.0,184341
Bernd Leno,Bernd Leno,248.0,80201
Myles Lewis-Skelly,Myles Lewis-Skelly,597.0,499169
Abdoulaye Doucouré,Abdoulaye Doucouré,217.0,121599
Harvey Elliott,Harvey Elliott,319.0,444884
Harry Winks,Harry Winks,309.0,157668
Raúl Jiménez,Raúl Jiménez,252.0,102057
Willy Boly,Willy Boly,425.0,90585
Joshua Zirkzee,Joshua Zirkzee,389.0,458249
Kevin Schade,Kevin Schade,106.0,513418
Matt Doherty,Matt Doherty,543.0,87835
Neal Maupay,Neal Maupay,229.0,115382
Wes Foderingham,Wes Foderingham,522.0,82143
Will Hughes,Will Hughes,203.0,108413
Ben Johnson,Ben Johnson,275.0,222018
Callum Wilson,Callum Wilson,421.0,75115
Dominik Szoboszlai,Dominik Szoboszlai,336.0,424876
Niclas Füllkrug,Niclas Füllkrug,589.0,91889
Yerson Mosquera,Yerson Mosquera,558.0,501837
Nathan Aké,Nathan Aké,341.0,126184
Reece James,Reece James,172.0,225796
Josh Dasilva,Josh Dasilva,90.0,183656
Sander Berge,Sander Berge,622.0,207189
Mark Flekken,Mark Flekken,91.0,118342
Pedro Porro,Pedro Porro,495.0,441164
Ryan Trevitt,Ryan Trevitt,602.0,591357
Lucas Digne,Lucas Digne,36.0,101188
Axel Disasi,Axel Disasi,167.0,220362
Sean Longstaff,Sean Longstaff,410.0,180135
Jean-Philippe Mateta,Jean-Philippe Mateta,207.0,231747
Rasmus Højlund,Rasmus Højlund,375.0,497894
Pablo Sarabia,Pablo Sarabia,565.0,88484
Nicolás Domínguez,Nicolás Domínguez,431.0,250199
Jack Clarke,Jack Clarke,631.0,443261
Oliver Skipp,Oliver Skipp,501.0,209042
Noussair Mazraoui,Noussair Mazraoui,594.0,230001
Mahmoud Dahoud,Mahmoud Dahoud,119.0,168090
Alex Scott,Alex Scott,77.0,503139
Christopher Nkunku,Christopher Nkunku,181.0,213198
Axel Tuanzebe,Axel Tuanzebe,282.0,180804
Kasey McAteer,Kasey McAteer,299.0,461587
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,213.0,450542
Orel Mangala,Orel Mangala,651.0,179519
Jonny Evans,Jonny Evans,371.0,37642
Ollie Watkins,Ollie Watkins,58.0,178301
Ryan Christie,Ryan Christie,63.0,158499
Michael Keane,Michael Keane,228.0,106611
Morgan Gibbs-White,Morgan Gibbs-White,433.0,222531
