season,team,team_name,definite_team_number,understat_name
2016-17,1,Arsenal,1,Arsenal
2016-17,2,Bournemouth,2,Bournemouth
2016-17,3,Burnley,3,Burnley
2016-17,4,Chelsea,4,Chelsea
2016-17,5,Crystal Palace,5,Crystal Palace
2016-17,6,Everton,6,Everton
2016-17,7,Hull,7,Hull
2016-17,8,Leicester,8,Leicester
2016-17,9,Liverpool,9,Liverpool
2016-17,10,Man City,10,Manchester City
2016-17,11,Man Utd,11,Manchester United
2016-17,12,Middlesbrough,12,Middlesbrough
2016-17,13,Southampton,13,Southampton
2016-17,14,Stoke,14,Stoke
2016-17,15,Sunderland,15,Sunderland
2016-17,16,Swansea,16,Swansea
2016-17,17,Spurs,17,Tottenham
2016-17,18,Watford,18,Watford
2016-17,19,West Brom,19,West Bromwich Albion
2016-17,20,West Ham,20,West Ham
2017-18,1,Arsenal,1,Arsenal
2017-18,2,Bournemouth,2,Bournemouth
2017-18,3,Brighton,21,Brighton
2017-18,4,Burnley,3,Burnley
2017-18,5,Chelsea,4,Chelsea
2017-18,6,Crystal Palace,5,Crystal Palace
2017-18,7,Everton,6,Everton
2017-18,8,Huddersfield,22,Huddersfield
2017-18,9,Leicester,8,Leicester
2017-18,10,Liverpool,9,Liverpool
2017-18,11,Man City,10,Manchester City
2017-18,12,Man Utd,11,Manchester United
2017-18,13,Newcastle,23,Newcastle United
2017-18,14,Southampton,13,Southampton
2017-18,15,Stoke,14,Stoke
2017-18,16,Swansea,16,Swansea
2017-18,17,Spurs,17,Tottenham
2017-18,18,Watford,18,Watford
2017-18,19,West Brom,19,West Bromwich Albion
2017-18,20,West Ham,20,West Ham
2018-19,1,Arsenal,1,Arsenal
2018-19,2,Bournemouth,2,Bournemouth
2018-19,3,Brighton,21,Brighton
2018-19,4,Burnley,3,Burnley
2018-19,5,Cardiff,24,Cardiff
2018-19,6,Chelsea,4,Chelsea
2018-19,7,Crystal Palace,5,Crystal Palace
2018-19,8,Everton,6,Everton
2018-19,9,Fulham,25,Fulham
2018-19,10,Huddersfield,22,Huddersfield
2018-19,11,Leicester,8,Leicester
2018-19,12,Liverpool,9,Liverpool
2018-19,13,Man City,10,Manchester City
2018-19,14,Man Utd,11,Manchester United
2018-19,15,Newcastle,23,Newcastle United
2018-19,16,Southampton,13,Southampton
2018-19,17,Spurs,17,Tottenham
2018-19,18,Watford,18,Watford
2018-19,19,West Ham,20,West Ham
2018-19,20,Wolves,26,Wolverhampton Wanderers
2019-20,1,Arsenal,1,Arsenal
2019-20,2,Aston Villa,27,Aston Villa
2019-20,3,Bournemouth,2,Bournemouth
2019-20,4,Brighton,21,Brighton
2019-20,5,Burnley,3,Burnley
