fpl_name,position,fpl_team,assists,bonus,clean_sheets,fpl_element,goals_conceded,goals_scored,fpl_kickoff_time,minutes,opponent_fpl_team_number,own_goals,penalties_missed,penalties_saved,red_cards,saves,team_a_score,team_h_score,points,value,was_home,yellow_cards,gw,season,expected_assists,expected_goals,bps,creativity,fixture,ict_index,influence,round,selected,threat,transfers_balance,transfers_in,transfers_out,expected_goal_involvements,expected_goals_conceded,starts,fpl_date
Wout Faes,2,8,0,0,0,291,1,0,2025-01-26T14:00:00Z,90,17,0,0,0,0,0,2,1,2,40,False,0,23,2024-25,0.0,0.11,13,0.5,229,2.4,16.4,23,744414,7.0,-31884,5065,36949,0.11,1.04,1,2025-01-26
Wout Faes,2,8,0,0,0,291,4,0,2025-02-01T15:00:00Z,90,6,0,0,0,0,0,0,4,0,39,False,0,24,2024-25,0.0,0.09,-4,0.3,235,2.6,18.8,24,735654,7.0,-10112,14376,24488,0.09,2.46,1,2025-02-01
Wout Faes,2,8,0,0,0,291,2,0,2025-02-15T12:30:00Z,90,1,0,0,0,0,0,2,0,1,39,True,0,25,2024-25,0.0,0.0,2,0.2,245,2.1,18.4,25,728235,2.0,-7878,13098,20976,0.0,1.38,1,2025-02-15
Wout Faes,2,8,0,0,0,291,4,0,2025-02-21T20:00:00Z,90,31,0,0,0,0,0,4,0,0,39,True,0,26,2024-25,0.01,0.0,-4,1.1,257,3.1,25.6,26,727344,4.0,-1813,11497,13310,0.01,1.52,1,2025-02-21
Wout Faes,2,8,0,0,0,291,2,0,2025-02-27T20:00:00Z,90,20,0,0,0,0,0,0,2,1,39,False,0,27,2024-25,0.0,0.02,8,0.3,266,2.0,18.0,27,717164,2.0,-10389,7597,17986,0.02,1.33,1,2025-02-27
Joël Veltman,2,21,0,0,0,145,1,0,2025-01-25T15:00:00Z,83,6,0,0,0,0,0,1,0,2,44,True,0,23,2024-25,0.1,0.07,9,37.8,223,6.2,21.0,23,206563,3.0,298,7121,6823,0.17,0.85,1,2025-01-25
Joël Veltman,2,21,0,0,0,145,7,0,2025-02-01T12:30:00Z,90,32,0,0,0,0,0,0,7,-1,44,False,0,24,2024-25,0.03,0.0,-15,5.2,239,1.4,9.0,24,196581,0.0,-9220,1888,11108,0.03,3.41,1,2025-02-01
Joël Veltman,2,21,0,0,1,145,0,0,2025-02-14T20:00:00Z,90,4,0,0,0,0,0,0,3,6,44,True,0,25,2024-25,0.0,0.27,21,0.3,242,4.9,15.2,25,187299,33.0,-9818,884,10702,0.27,0.54,1,2025-02-14
Joël Veltman,2,21,0,0,0,145,0,0,2025-02-22T15:00:00Z,0,13,0,0,0,0,0,4,0,0,44,False,0,26,2024-25,0.0,0.0,0,0.0,260,0.0,0.0,26,197711,0.0,8830,11146,2316,0.0,0.0,0,2025-02-22
Joël Veltman,2,21,0,0,0,145,0,0,2025-02-25T19:30:00Z,0,2,0,0,0,0,0,1,2,0,44,True,0,27,2024-25,0.0,0.0,0,0.0,262,0.0,0.0,27,181185,0.0,-15661,277,15938,0.0,0.0,0,2025-02-25
Kurt Zouma,2,20,0,0,0,532,0,0,2025-01-26T16:30:00Z,0,27,0,0,0,0,0,1,1,0,44,False,0,23,2024-25,0.0,0.0,0,0.0,221,0.0,0.0,23,15256,0.0,-130,0,130,0.0,0.0,0,2025-01-26
Kurt Zouma,2,20,0,0,0,532,0,0,2025-02-03T20:00:00Z,0,4,0,0,0,0,0,1,2,0,44,False,0,24,2024-25,0.0,0.0,0,0.0,234,0.0,0.0,24,15140,0.0,-118,0,118,0.0,0.0,0,2025-02-03
Kurt Zouma,2,20,0,0,0,532,0,0,2025-02-15T15:00:00Z,0,31,0,0,0,0,0,1,0,0,44,True,0,25,2024-25,0.0,0.0,0,0.0,250,0.0,0.0,25,15017,0.0,-122,0,122,0.0,0.0,0,2025-02-15
Kurt Zouma,2,20,0,0,0,532,0,0,2025-02-22T15:00:00Z,0,1,0,0,0,0,0,1,0,0,44,False,0,26,2024-25,0.0,0.0,0,0.0,251,0.0,0.0,26,14950,0.0,-73,0,73,0.0,0.0,0,2025-02-22
Kurt Zouma,2,20,0,0,0,532,0,0,2025-02-27T20:00:00Z,0,8,0,0,0,0,0,0,2,0,44,True,0,27,2024-25,0.0,0.0,0,0.0,266,0.0,0.0,27,14910,0.0,-41,0,41,0.0,0.0,0,2025-02-27
Aaron Cresswell,2,20,0,0,0,517,1,0,2025-01-26T16:30:00Z,90,27,0,0,0,0,0,1,1,1,39,False,1,23,2024-25,0.28,0.0,6,20.2,221,3.3,13.2,23,172470,0.0,1004,6634,5630,0.28,0.85,1,2025-01-26
Aaron Cresswell,2,20,0,0,0,517,2,0,2025-02-03T20:00:00Z,86,4,0,0,0,0,0,1,2,1,39,False,0,24,2024-25,0.12,0.08,2,17.8,234,2.9,9.2,24,175073,2.0,1722,5729,4007,0.2,1.67,1,2025-02-03
