season,gw,fpl_element,local_understat_id,local_understat_fixture,fpl_name,understat_name,position,fpl_team,understat_team,opponent_fpl_team_number,fpl_kickoff_time,understat_date,value,points,minutes,goals_scored,xG,goals_conceded,assists,xA,yellow_cards,red_cards,clean_sheets,key_passes,own_goals,penalties_missed,penalties_saved,saves,bonus,team_a_score,team_h_score,was_home,expected_assists,expected_goals
2024-25,6,291,108160.0,3854.0,Wout Faes,Wout Faes,2,8,Leicester,1,2024-09-28T14:00:00Z,2024-09-28,41,0,90,0,0.0,4,0,0.0,0,0,0,0.0,0,0,0,0,0,2,4,False,0.0,0.0
2024-25,7,291,108391.0,3862.0,Wout Faes,Wout Faes,2,8,Leicester,2,2024-10-05T14:00:00Z,2024-10-05,41,6,90,0,0.0,0,0,0.02,0,0,1,1.0,0,0,0,0,0,0,1,True,0.0,0.0
2024-25,8,291,108864.0,3877.0,Wout Faes,Wout Faes,2,8,Leicester,13,2024-10-19T14:00:00Z,2024-10-19,42,1,90,0,0.44,2,0,0.0,0,0,0,0.0,0,0,0,0,0,3,2,False,0.03,0.44
2024-25,9,291,108970.0,3881.0,Wout Faes,Wout Faes,2,8,Leicester,32,2024-10-25T19:00:00Z,2024-10-25,42,1,90,0,0.0,3,0,0.0,0,0,0,0.0,0,0,0,0,0,3,1,True,0.04,0.0
2024-25,10,291,109379.0,3894.0,Wout Faes,Wout Faes,2,8,Leicester,34,2024-11-02T15:00:00Z,2024-11-02,42,2,90,0,0.12,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,False,0.01,0.11
2024-25,11,291,109770.0,3907.0,Wout Faes,Wout Faes,2,8,Leicester,11,2024-11-10T14:00:00Z,2024-11-10,42,1,90,0,0.0,3,0,0.0,0,0,0,0.0,0,0,0,0,0,0,3,False,0.01,0.0
2024-25,12,291,110086.0,3918.0,Wout Faes,Wout Faes,2,8,Leicester,4,2024-11-23T12:30:00Z,2024-11-23,42,0,90,0,0.0,2,0,0.0,1,0,0,0.0,0,0,0,0,0,2,1,True,0.0,0.0
2024-25,13,291,110190.0,3921.0,Wout Faes,Wout Faes,2,8,Leicester,31,2024-11-30T15:00:00Z,2024-11-30,41,0,90,0,0.0,4,0,0.01,0,0,0,1.0,0,0,0,0,0,1,4,False,0.01,0.0
2024-25,14,291,110678.0,3937.0,Wout Faes,Wout Faes,2,8,Leicester,20,2024-12-03T20:15:00Z,2024-12-03,41,1,30,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,True,0.01,0.0
2024-25,15,291,111043.0,3949.0,Wout Faes,Wout Faes,2,8,Leicester,21,2024-12-08T14:00:00Z,2024-12-08,41,1,9,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,True,0.0,0.0
2024-25,16,291,,,Wout Faes,Wout Faes,2,8,,23,2024-12-14T15:00:00Z,,41,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,4,False,0.0,0.0
2024-25,17,291,111615.0,3968.0,Wout Faes,Wout Faes,2,8,Leicester,26,2024-12-22T14:00:00Z,2024-12-22,41,1,45,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,3,0,True,0.01,0.0
2024-25,18,291,,,Wout Faes,Wout Faes,2,8,,9,2024-12-26T20:00:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,3,False,0.0,0.0
2024-25,19,291,,,Wout Faes,Wout Faes,2,8,,10,2024-12-29T14:30:00Z,,40,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0,True,0.0,0.0
2024-25,20,291,112333.0,3991.0,Wout Faes,Wout Faes,2,8,Leicester,27,2025-01-04T15:00:00Z,2025-01-04,40,1,28,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2,False,0.0,0.0
2024-25,21,291,112686.0,4004.0,Wout Faes,Wout Faes,2,8,Leicester,5,2025-01-15T19:30:00Z,2025-01-15,40,1,90,0,0.0,2,0,0.11,0,0,0,1.0,0,0,0,0,0,2,0,True,0.16,0.0
2024-25,22,291,113014.0,4015.0,Wout Faes,Wout Faes,2,8,Leicester,25,2025-01-18T15:00:00Z,2025-01-18,40,0,90,0,0.0,2,0,0.0,1,0,0,0.0,0,0,0,0,0,2,0,True,0.0,0.0
2024-25,6,145,,,Joël Veltman,Joël Veltman,2,21,,4,2024-09-28T14:00:00Z,,45,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,4,False,0.0,0.0
2024-25,7,145,108634.0,3870.0,Joël Veltman,Joël Veltman,2,21,Brighton,17,2024-10-06T15:30:00Z,2024-10-06,45,1,90,0,0.0,2,0,0.0,0,0,0,0.0,0,0,0,0,0,2,3,True,0.01,0.0
2024-25,8,145,108800.0,3875.0,Joël Veltman,Joël Veltman,2,21,Brighton,23,2024-10-19T14:00:00Z,2024-10-19,45,7,90,0,0.0,0,0,0.34,0,0,1,1.0,0,0,0,0,1,1,0,False,0.16,0.0
2024-25,9,145,109090.0,3885.0,Joël Veltman,Joël Veltman,2,21,Brighton,26,2024-10-26T14:00:00Z,2024-10-26,45,1,90,0,0.02,2,0,0.0,0,0,0,0.0,0,0,0,0,0,2,2,True,0.1,0.02
