id,understat_id,date,home,away
3851,26652,2024-09-28,Newcastle United,Manchester City
3852,26653,2024-09-28,Nottingham Forest,Fulham
3853,26654,2024-09-28,Everton,Crystal Palace
3854,26655,2024-09-28,Arsenal,Leicester
3855,26656,2024-09-28,Brentford,West Ham
3856,26657,2024-09-28,Chelsea,Brighton
3857,26658,2024-09-28,Wolverhampton Wanderers,Liverpool
3858,26659,2024-09-29,Ipswich,Aston Villa
3859,26660,2024-09-29,Manchester United,Tottenham
3860,26661,2024-09-30,Bournemouth,Southampton
3861,26662,2024-10-05,Crystal Palace,Liverpool
3862,26663,2024-10-05,Leicester,Bournemouth
3863,26664,2024-10-05,Manchester City,Fulham
3864,26665,2024-10-05,West Ham,Ipswich
3865,26666,2024-10-05,Arsenal,Southampton
3866,26667,2024-10-05,Brentford,Wolverhampton Wanderers
3867,26668,2024-10-06,Chelsea,Nottingham Forest
3868,26669,2024-10-05,Everton,Newcastle United
3869,26670,2024-10-06,Aston Villa,Manchester United
3870,26671,2024-10-06,Brighton,Tottenham
3871,26672,2024-10-19,Tottenham,West Ham
3872,26673,2024-10-19,Fulham,Aston Villa
3873,26674,2024-10-19,Ipswich,Everton
3874,26675,2024-10-19,Manchester United,Brentford
3875,26676,2024-10-19,Newcastle United,Brighton
3876,26677,2024-10-21,Nottingham Forest,Crystal Palace
3877,26678,2024-10-19,Southampton,Leicester
3878,26679,2024-10-20,Liverpool,Chelsea
3879,26680,2024-10-19,Bournemouth,Arsenal
3880,26681,2024-10-20,Wolverhampton Wanderers,Manchester City
3881,26682,2024-10-25,Leicester,Nottingham Forest
3882,26683,2024-10-26,Manchester City,Southampton
3883,26684,2024-10-26,Aston Villa,Bournemouth
3884,26685,2024-10-26,Brentford,Ipswich
3885,26686,2024-10-26,Brighton,Wolverhampton Wanderers
3886,26687,2024-10-26,Everton,Fulham
3887,26688,2024-10-27,Chelsea,Newcastle United
3888,26689,2024-10-27,Crystal Palace,Tottenham
3889,26690,2024-10-27,West Ham,Manchester United
3890,26691,2024-10-27,Arsenal,Liverpool
3891,26692,2024-11-02,Bournemouth,Manchester City
3892,26693,2024-11-04,Fulham,Brentford
3893,26694,2024-11-02,Newcastle United,Arsenal
3894,26695,2024-11-02,Ipswich,Leicester
3895,26696,2024-11-02,Liverpool,Brighton
3896,26697,2024-11-03,Manchester United,Chelsea
3897,26698,2024-11-02,Nottingham Forest,West Ham
3898,26699,2024-11-02,Southampton,Everton
3899,26700,2024-11-03,Tottenham,Aston Villa
3900,26701,2024-11-02,Wolverhampton Wanderers,Crystal Palace
3901,26702,2024-11-09,Brentford,Bournemouth
3902,26703,2024-11-09,Brighton,Manchester City
3903,26704,2024-11-10,Nottingham Forest,Newcastle United
3904,26705,2024-11-10,Chelsea,Arsenal
3905,26706,2024-11-09,Crystal Palace,Fulham
3906,26707,2024-11-09,Liverpool,Aston Villa
3907,26708,2024-11-10,Manchester United,Leicester
3908,26709,2024-11-10,Tottenham,Ipswich
3909,26710,2024-11-09,West Ham,Everton
3910,26711,2024-11-09,Wolverhampton Wanderers,Southampton
3911,26712,2024-11-23,Bournemouth,Brighton
3912,26713,2024-11-25,Newcastle United,West Ham
3913,26714,2024-11-23,Arsenal,Nottingham Forest
3914,26715,2024-11-23,Everton,Brentford
3915,26716,2024-11-23,Aston Villa,Crystal Palace
3916,26717,2024-11-23,Fulham,Wolverhampton Wanderers
3917,26718,2024-11-24,Ipswich,Manchester United
3918,26719,2024-11-23,Leicester,Chelsea
3919,26720,2024-11-23,Manchester City,Tottenham
3920,26721,2024-11-24,Southampton,Liverpool
3921,26722,2024-11-30,Brentford,Leicester
3922,26723,2024-11-29,Brighton,Southampton
3923,26724,2024-12-01,Chelsea,Aston Villa
3924,26725,2024-11-30,Crystal Palace,Newcastle United
3925,26726,2024-12-01,Liverpool,Manchester City
3926,26727,2024-12-01,Manchester United,Everton
3927,26728,2024-11-30,Nottingham Forest,Ipswich
3928,26729,2024-12-01,Tottenham,Fulham
3929,26730,2024-11-30,West Ham,Arsenal
3930,26731,2024-11-30,Wolverhampton Wanderers,Bournemouth
3931,26732,2024-12-05,Bournemouth,Tottenham
3932,26733,2024-12-04,Arsenal,Manchester United
3933,26734,2024-12-04,Aston Villa,Brentford
3934,26735,2024-12-04,Everton,Wolverhampton Wanderers
3935,26736,2024-12-05,Fulham,Brighton
3936,26737,2024-12-03,Ipswich,Crystal Palace
3937,26738,2024-12-03,Leicester,West Ham
3938,26739,2024-12-04,Manchester City,Nottingham Forest
3939,26740,2024-12-04,Newcastle United,Liverpool
3940,26741,2024-12-04,Southampton,Chelsea
3941,26742,2024-12-07,Aston Villa,Southampton
3942,26743,2024-12-07,Brentford,Newcastle United
3943,26744,2024-12-07,Manchester United,Nottingham Forest
3944,26745,2024-12-08,Tottenham,Chelsea
3945,26746,2024-12-09,West Ham,Wolverhampton Wanderers
3946,26747,2024-12-07,Crystal Palace,Manchester City
3947,26749,2024-12-08,Fulham,Arsenal
3948,26750,2024-12-08,Ipswich,Bournemouth
3949,26751,2024-12-08,Leicester,Brighton
3950,26752,2024-12-14,Liverpool,Fulham
3951,26753,2024-12-15,Manchester City,Manchester United
3952,26754,2024-12-16,Bournemouth,West Ham
3953,26755,2024-12-14,Arsenal,Everton
3954,26756,2024-12-15,Brighton,Crystal Palace
3955,26757,2024-12-15,Chelsea,Brentford
3956,26758,2024-12-14,Wolverhampton Wanderers,Ipswich
3957,26759,2024-12-15,Southampton,Tottenham
3958,26760,2024-12-14,Newcastle United,Leicester
3959,26761,2024-12-14,Nottingham Forest,Aston Villa
3960,26762,2024-12-21,Aston Villa,Manchester City
3961,26763,2024-12-22,Fulham,Southampton
