id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA
113166,Kepa,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113167,Lewis Cook,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113168,Dean Huijsen,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113169,Illia Zabarnyi,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113170,Milos Kerkez,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113171,Tyler Adams,4020,Bournemouth,90,0,0,2,2,0.00,0.53
113172,Ryan Christie,4020,Bournemouth,90,1,0,1,0,0.06,0.04
113173,David Brooks,4020,Bournemouth,83,2,0,1,0,0.08,0.27
113174,Justin Kluivert,4020,Bournemouth,90,3,1,1,1,0.25,0.61
113175,Antoine Semenyo,4020,Bournemouth,90,4,1,3,0,0.56,0.20
113176,Dango Ouattara,4020,Bournemouth,90,4,3,0,0,1.73,0.00
113177,Marcus Tavernier,4020,Bournemouth,7,2,0,1,1,0.18,0.10
113178,Daniel Jebbison,4020,Bournemouth,1,0,0,0,0,0.00,0.00
113179,Zain Silcott-Duberry,4020,Bournemouth,1,0,0,0,0,0.00,0.00
113180,Matz Sels,4020,Nottingham Forest,90,0,0,0,0,0.00,0.00
113181,Ola Aina,4020,Nottingham Forest,82,0,0,0,0,0.00,0.00
113182,Murillo,4020,Nottingham Forest,90,1,0,0,0,0.01,0.00
113183,Nikola Milenkovic,4020,Nottingham Forest,90,3,0,0,0,0.19,0.00
113184,Neco Williams,4020,Nottingham Forest,70,1,0,0,0,0.02,0.00
113185,Ryan Yates,4020,Nottingham Forest,49,1,0,0,0,0.01,0.00
113186,Elliot Anderson,4020,Nottingham Forest,90,1,0,0,0,0.01,0.00
113187,Jota Silva,4020,Nottingham Forest,69,1,0,0,0,0.06,0.00
113188,Morgan Gibbs-White,4020,Nottingham Forest,82,3,0,4,0,0.40,0.18
113189,Anthony Elanga,4020,Nottingham Forest,90,5,0,5,0,0.22,0.25
113190,Chris Wood,4020,Nottingham Forest,90,0,0,1,0,0.00,0.06
113191,Nicolás Domínguez,4020,Nottingham Forest,41,0,0,1,0,0.00,0.26
113192,Taiwo Awoniyi,4020,Nottingham Forest,8,0,0,1,0,0.00,0.02
113193,Ramón Sosa,4020,Nottingham Forest,8,1,0,0,0,0.02,0.00
113194,Álex Moreno,4020,Nottingham Forest,20,0,0,0,0,0.00,0.00
113195,Morato,4020,Nottingham Forest,21,1,0,0,0,0.05,0.00
113196,Emiliano Martinez,4021,Aston Villa,90,0,0,0,0,0.00,0.00
113197,Matthew Cash,4021,Aston Villa,90,0,0,2,0,0.00,0.13
113198,Tyrone Mings,4021,Aston Villa,37,0,0,0,0,0.00,0.00
113199,Ezri Konsa Ngoyo,4021,Aston Villa,90,0,0,0,0,0.00,0.00
113200,Lucas Digne,4021,Aston Villa,90,2,0,1,0,0.08,0.07
113201,Youri Tielemans,4021,Aston Villa,90,1,0,1,0,0.04,0.05
113202,Boubacar Kamara,4021,Aston Villa,90,1,0,0,0,0.08,0.00
113203,Leon Bailey,4021,Aston Villa,74,2,0,2,0,0.18,0.12
113204,Morgan Rogers,4021,Aston Villa,81,0,0,0,0,0.00,0.00
113205,Jacob Ramsey,4021,Aston Villa,82,1,1,2,0,0.10,0.17
113206,Ollie Watkins,4021,Aston Villa,75,2,0,2,1,0.12,0.18
113207,Emiliano Buendía,4021,Aston Villa,9,1,0,0,0,0.02,0.00
113208,Jhon Durán,4021,Aston Villa,15,2,0,0,0,0.13,0.00
113209,Ian Maatsen,4021,Aston Villa,53,1,0,1,0,0.08,0.07
113210,Donyell Malen,4021,Aston Villa,16,1,0,0,0,0.06,0.00
113211,John McGinn,4021,Aston Villa,8,0,0,0,0,0.00,0.00
113212,Alphonse Areola,4021,West Ham,90,0,0,0,0,0.00,0.00
113213,Vladimir Coufal,4021,West Ham,90,0,0,1,0,0.00,0.11
113214,Max Kilman,4021,West Ham,90,0,0,0,0,0.00,0.00
